              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 12:00:43 (7/5/2025) 
DRT4 Serial Number: #3173 
Comment:  

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 15 
Active Mark Number: 15 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
1: 	0	10	47	Event1	PC User Marker			
2: 	0	12	19	Event2	PC User Marker			
3: 	0	15	21	Event3	PC User Marker			
4: 	0	16	59	Event4	PC User Marker			
5: 	0	19	22	Event5	PC User Marker			
6: 	0	21	44	Event6	PC User Marker			
7: 	0	23	26	Event7	PC User Marker			
8: 	0	25	15	Event8	PC User Marker			
9: 	0	26	17	Event9	PC User Marker			
10: 	0	27	44	Event10	PC User Marker			
11: 	0	27	59	Event11	PC User Marker			
12: 	0	28	52	Event12	PC User Marker			
13: 	0	29	43	Event13	PC User Marker			
14: 	0	30	31	Event14	PC User Marker			
15: 	0	30	54	Event15				


4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
194	0	3	13	 99.7 
195	0	3	14	 97.8 
196	0	3	15	101.7 
197	0	3	16	100.0 
198	0	3	17	 97.9 
199	0	3	18	103.8 
200	0	3	19	108.3 
201	0	3	20	113.8 
202	0	3	21	116.4 
203	0	3	22	116.0 
204	0	3	23	116.2 
205	0	3	24	115.6 
206	0	3	25	109.2 
207	0	3	26	109.5 
208	0	3	27	114.1 
209	0	3	28	126.0 
210	0	3	29	125.8 
211	0	3	30	135.3 
212	0	3	31	176.1 
213	0	3	32	144.8 
214	0	3	33	134.4 
215	0	3	34	141.0 
216	0	3	35	126.5 
217	0	3	36	102.0 
218	0	3	37	103.8 
219	0	3	38	110.4 
220	0	3	39	115.7 
221	0	3	40	130.5 
222	0	3	41	141.4 
223	0	3	42	149.4 
224	0	3	43	148.7 
225	0	3	44	139.9 
226	0	3	45	137.9 
227	0	3	46	132.0 
228	0	3	47	128.2 
229	0	3	48	127.8 
230	0	3	49	134.5 
231	0	3	50	132.9 
232	0	3	51	121.3 
233	0	3	52	103.8 
234	0	3	53	 94.1 
235	0	3	54	 95.5 
236	0	3	55	 98.4 
237	0	3	56	107.5 
238	0	3	57	103.1 
239	0	3	58	 94.7 
240	0	3	59	 94.9 
241	0	4	0	102.3 
242	0	4	1	111.3 
243	0	4	2	113.2 
244	0	4	3	124.1 
245	0	4	4	124.4 
246	0	4	5	134.0 
247	0	4	6	139.6 
248	0	4	7	144.5 
249	0	4	8	129.1 
250	0	4	9	 99.1 
251	0	4	10	 87.1 
252	0	4	11	 73.8 
253	0	4	12	 55.6 
254	0	4	13	 50.3 
255	0	4	14	 49.2 
256	0	4	15	 42.9 
257	0	4	16	 51.3 
258	0	4	17	 43.2 
259	0	4	18	 43.6 
260	0	4	19	 54.1 
261	0	4	20	 56.8 
262	0	4	21	 37.6 
263	0	4	22	 37.3 
264	0	4	23	 35.7 
265	0	4	24	 39.8 
266	0	4	25	 30.0 
267	0	4	26	 43.0 
268	0	4	27	 35.4 
269	0	4	28	 38.5 
270	0	4	29	 42.3 
271	0	4	30	 38.1 
272	0	4	31	 33.2 
273	0	4	32	 33.7 
274	0	4	33	 43.3 
275	0	4	34	 53.2 
276	0	4	35	 60.5 
277	0	4	36	 59.6 
278	0	4	37	 49.8 
279	0	4	38	 38.0 
280	0	4	39	 53.8 
281	0	4	40	 38.4 
282	0	4	41	 36.7 
283	0	4	42	 33.4 
284	0	4	43	 31.2 
285	0	4	44	 31.5 
286	0	4	45	 33.0 
287	0	4	46	 52.7 
288	0	4	47	 62.3 
289	0	4	48	 71.4 
290	0	4	49	 75.7 
291	0	4	50	 69.7 
292	0	4	51	 64.2 
293	0	4	52	 57.0 
294	0	4	53	 48.5 
295	0	4	54	 43.7 
296	0	4	55	 39.7 
297	0	4	56	 43.4 
298	0	4	57	 49.2 
299	0	4	58	 53.3 
300	0	4	59	 59.1 
301	0	5	0	 68.0 
302	0	5	1	 74.5 
303	0	5	2	 80.7 
304	0	5	3	 75.1 
305	0	5	4	 67.8 
306	0	5	5	 61.8 
307	0	5	6	 51.1 
308	0	5	7	 48.8 
309	0	5	8	 43.5 
310	0	5	9	 48.4 
311	0	5	10	 62.7 
312	0	5	11	 77.1 
313	0	5	12	 81.6 
314	0	5	13	 76.1 
315	0	5	14	 79.7 
316	0	5	15	 73.7 
317	0	5	16	 59.2 
318	0	5	17	 56.9 
319	0	5	18	 63.7 
320	0	5	19	 60.0 
321	0	5	20	 61.0 
322	0	5	21	 56.7 
323	0	5	22	 59.5 
324	0	5	23	 50.8 
325	0	5	24	 54.7 
326	0	5	25	 63.1 
327	0	5	26	 58.5 
328	0	5	27	 55.9 
329	0	5	28	 56.3 
330	0	5	29	 64.1 
331	0	5	30	 62.0 
332	0	5	31	 64.0 
333	0	5	32	 69.3 
334	0	5	33	 80.0 
335	0	5	34	 75.9 
336	0	5	35	 69.9 
337	0	5	36	 64.9 
338	0	5	37	 72.7 
339	0	5	38	 65.7 
340	0	5	39	 57.1 
341	0	5	40	 52.2 
342	0	5	41	 54.3 
343	0	5	42	 55.7 
344	0	5	43	 57.5 
345	0	5	44	 61.8 
346	0	5	45	 65.0 
347	0	5	46	 63.3 
348	0	5	47	 67.5 
349	0	5	48	 65.4 
350	0	5	49	 59.7 
351	0	5	50	 57.0 
352	0	5	51	 52.3 
353	0	5	52	 54.9 
354	0	5	53	 67.9 
355	0	5	54	 73.6 
356	0	5	55	 72.9 
357	0	5	56	 69.2 
358	0	5	57	 62.6 
359	0	5	58	 66.3 
360	0	5	59	 76.6 
361	0	6	0	 74.0 
362	0	6	1	 77.4 
363	0	6	2	 74.6 
364	0	6	3	 73.2 
365	0	6	4	 88.9 
366	0	6	5	 99.2 
367	0	6	6	120.8 
368	0	6	7	125.0 
369	0	6	8	128.4 
370	0	6	9	137.1 
371	0	6	10	141.1 
372	0	6	11	144.8 
373	0	6	12	137.6 
374	0	6	13	122.2 
375	0	6	14	111.7 
376	0	6	15	103.4 
377	0	6	16	 99.7 
378	0	6	17	 99.2 
379	0	6	18	100.2 
380	0	6	19	108.5 
381	0	6	20	110.1 
382	0	6	21	107.4 
383	0	6	22	109.7 
384	0	6	23	125.7 
385	0	6	24	 96.8 
386	0	6	25	 84.2 
387	0	6	26	 79.4 
388	0	6	27	 97.5 
389	0	6	28	 95.7 
390	0	6	29	 94.0 
391	0	6	30	100.7 
392	0	6	31	105.9 
393	0	6	32	118.6 
394	0	6	33	112.3 
395	0	6	34	 99.8 
396	0	6	35	102.3 
397	0	6	36	 76.4 
398	0	6	37	 58.6 
399	0	6	38	 49.4 
400	0	6	39	 50.0 
401	0	6	40	 40.6 
402	0	6	41	 51.2 
403	0	6	42	 67.9 
404	0	6	43	 72.4 
405	0	6	44	 89.2 
406	0	6	45	 95.0 
407	0	6	46	 99.6 
408	0	6	47	103.1 
409	0	6	48	 94.8 
410	0	6	49	 90.7 
411	0	6	50	 79.8 
412	0	6	51	 63.9 
413	0	6	52	 59.9 
414	0	6	53	 54.4 
415	0	6	54	 52.5 
416	0	6	55	 53.2 
417	0	6	56	 71.0 
418	0	6	57	 73.0 
419	0	6	58	 65.8 
420	0	6	59	 59.6 
421	0	7	0	 52.0 
422	0	7	1	 49.6 
423	0	7	2	 47.6 
424	0	7	3	 67.0 
425	0	7	4	 59.7 
426	0	7	5	 60.5 
427	0	7	6	 55.3 
428	0	7	7	 77.8 
429	0	7	8	 90.5 
430	0	7	9	 93.9 
431	0	7	10	 97.0 
432	0	7	11	101.2 
433	0	7	12	105.2 
434	0	7	13	109.1 
435	0	7	14	 94.2 
436	0	7	15	 78.4 
437	0	7	16	 73.8 
438	0	7	17	 69.4 
439	0	7	18	 68.3 
440	0	7	19	 65.6 
441	0	7	20	 70.9 
