              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:59:31 (13/3/2026)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	 33.9 
2	0	0	1	 34.1 
229	0	3	48	 84.7 
230	0	3	49	 73.8 
231	0	3	50	 80.4 
232	0	3	51	125.4 
233	0	3	52	123.5 
234	0	3	53	 88.2 
235	0	3	54	 86.8 
236	0	3	55	 91.5 
237	0	3	56	 79.4 
238	0	3	57	 84.4 
239	0	3	58	 84.2 
240	0	3	59	 85.8 
241	0	4	0	 86.2 
242	0	4	1	 67.2 
243	0	4	2	 77.7 
244	0	4	3	 57.5 
245	0	4	4	 47.5 
246	0	4	5	 51.2 
247	0	4	6	 51.0 
248	0	4	7	 51.3 
249	0	4	8	 49.1 
250	0	4	9	 43.7 
251	0	4	10	 44.5 
252	0	4	11	 44.1 
253	0	4	12	 49.2 
254	0	4	13	 46.8 
255	0	4	14	 69.7 
256	0	4	15	 75.3 
257	0	4	16	 96.8 
258	0	4	17	131.9 
259	0	4	18	123.8 
260	0	4	19	129.5 
261	0	4	20	127.9 
262	0	4	21	139.3 
263	0	4	22	116.6 
264	0	4	23	122.9 
265	0	4	24	 99.1 
266	0	4	25	101.7 
267	0	4	26	107.9 
268	0	4	27	 87.8 
269	0	4	28	 84.9 
270	0	4	29	 86.5 
271	0	4	30	 86.2 
272	0	4	31	 56.9 
273	0	4	32	 66.1 
274	0	4	33	 62.7 
275	0	4	34	 66.0 
276	0	4	35	 69.3 
277	0	4	36	 82.9 
278	0	4	37	 91.9 
279	0	4	38	 79.2 
280	0	4	39	 80.7 
281	0	4	40	100.2 
282	0	4	41	 97.0 
283	0	4	42	101.1 
284	0	4	43	 78.2 
285	0	4	44	 80.2 
286	0	4	45	 62.7 
287	0	4	46	 41.7 
288	0	4	47	 39.8 
289	0	4	48	 56.3 
290	0	4	49	 23.6 
291	0	4	50	 18.2 
292	0	4	51	 16.8 
293	0	4	52	 34.6 
294	0	4	53	 27.6 
295	0	4	54	 29.1 
296	0	4	55	 49.0 
297	0	4	56	 73.2 
298	0	4	57	 72.8 
299	0	4	58	 80.8 
300	0	4	59	 95.4 
301	0	5	0	113.6 
302	0	5	1	122.9 
303	0	5	2	123.7 
304	0	5	3	132.5 
305	0	5	4	135.3 
306	0	5	5	121.5 
307	0	5	6	136.9 
308	0	5	7	162.1 
309	0	5	8	201.8 
310	0	5	9	197.1 
311	0	5	10	147.6 
312	0	5	11	193.4 
313	0	5	12	169.0 
314	0	5	13	 95.9 
315	0	5	14	 60.2 
316	0	5	15	 30.4 
317	0	5	16	 56.8 
318	0	5	17	 51.9 
319	0	5	18	 55.6 
320	0	5	19	 55.0 
321	0	5	20	 70.2 
322	0	5	21	 70.1 
323	0	5	22	 80.8 
324	0	5	23	 73.5 
325	0	5	24	 79.9 
326	0	5	25	 75.4 
327	0	5	26	 64.5 
328	0	5	27	 58.8 
329	0	5	28	 46.7 
330	0	5	29	 36.2 
331	0	5	30	 23.1 
332	0	5	31	 28.6 
333	0	5	32	 19.7 
334	0	5	33	 32.8 
335	0	5	34	114.5 
336	0	5	35	 99.4 
337	0	5	36	 35.2 
338	0	5	37	 59.9 
339	0	5	38	 70.1 
340	0	5	39	 72.5 
341	0	5	40	 77.1 
342	0	5	41	 73.2 
343	0	5	42	 77.2 
344	0	5	43	 78.9 
345	0	5	44	 67.5 
346	0	5	45	 82.2 
347	0	5	46	 69.6 
348	0	5	47	 54.7 
349	0	5	48	 69.5 
350	0	5	49	102.1 
351	0	5	50	169.5 
352	0	5	51	118.3 
353	0	5	52	 99.2 
354	0	5	53	 79.2 
355	0	5	54	 53.3 
356	0	5	55	 44.7 
357	0	5	56	 64.8 
358	0	5	57	 66.4 
359	0	5	58	 80.8 
360	0	5	59	 74.8 
361	0	6	0	 69.8 
362	0	6	1	 66.2 
363	0	6	2	 76.6 
364	0	6	3	 61.3 
365	0	6	4	 69.8 
366	0	6	5	 64.7 
367	0	6	6	 53.1 
368	0	6	7	 45.0 
369	0	6	8	 40.5 
370	0	6	9	 33.3 
371	0	6	10	 48.3 
372	0	6	11	 41.7 
373	0	6	12	 70.0 
374	0	6	13	 35.8 
375	0	6	14	 57.0 
376	0	6	15	 99.9 
377	0	6	16	 41.2 
378	0	6	17	 44.2 
379	0	6	18	 60.4 
380	0	6	19	 96.4 
381	0	6	20	 66.8 
382	0	6	21	 75.4 
383	0	6	22	 98.3 
384	0	6	23	140.6 
385	0	6	24	153.5 
386	0	6	25	131.5 
387	0	6	26	129.4 
388	0	6	27	137.4 
389	0	6	28	139.5 
390	0	6	29	103.8 
391	0	6	30	 98.1 
392	0	6	31	 70.3 
393	0	6	32	 60.8 
394	0	6	33	 51.6 
395	0	6	34	 62.7 
396	0	6	35	 51.2 
397	0	6	36	 54.6 
398	0	6	37	 58.9 
399	0	6	38	 65.8 
400	0	6	39	107.3 
401	0	6	40	 59.8 
402	0	6	41	 61.9 
403	0	6	42	 66.7 
404	0	6	43	 71.9 
405	0	6	44	 81.2 
406	0	6	45	 84.0 
407	0	6	46	 74.5 
408	0	6	47	 82.3 
409	0	6	48	 56.3 
410	0	6	49	 66.6 
411	0	6	50	 50.7 
412	0	6	51	 43.9 
413	0	6	52	 31.0 
414	0	6	53	 26.1 
415	0	6	54	 29.7 
416	0	6	55	 67.9 
417	0	6	56	 20.2 
418	0	6	57	 24.1 
419	0	6	58	 24.7 
420	0	6	59	 40.3 
421	0	7	0	 59.2 
422	0	7	1	 90.0 
423	0	7	2	115.6 
424	0	7	3	115.2 
425	0	7	4	 96.5 
426	0	7	5	103.2 
427	0	7	6	119.3 
428	0	7	7	104.7 
429	0	7	8	108.0 
430	0	7	9	 97.4 
431	0	7	10	 88.9 
432	0	7	11	102.6 
433	0	7	12	 90.7 
434	0	7	13	 86.2 
435	0	7	14	 71.2 
436	0	7	15	 62.8 
437	0	7	16	 80.3 
438	0	7	17	154.7 
439	0	7	18	270.5 
440	0	7	19	332.1 
441	0	7	20	130.2 
442	0	7	21	 65.4 
443	0	7	22	 63.4 
444	0	7	23	 91.0 
445	0	7	24	 46.2 
446	0	7	25	 41.1 
447	0	7	26	 52.2 
448	0	7	27	 44.3 
449	0	7	28	 37.8 
450	0	7	29	 27.7 
451	0	7	30	 53.5 
452	0	7	31	 59.9 
453	0	7	32	 70.1 
454	0	7	33	 61.2 
455	0	7	34	 50.4 
456	0	7	35	 43.9 
457	0	7	36	 48.2 
458	0	7	37	 49.3 
459	0	7	38	 51.3 
460	0	7	39	296.9 
461	0	7	40	134.1 
462	0	7	41	 42.9 
463	0	7	42	 49.8 
464	0	7	43	 70.5 
465	0	7	44	 59.0 
466	0	7	45	 56.1 
467	0	7	46	 60.7 
468	0	7	47	 41.6 
469	0	7	48	 17.0 
470	0	7	49	 18.8 
471	0	7	50	 13.8 
472	0	7	51	 12.1 
473	0	7	52	 21.5 
474	0	7	53	 57.3 
475	0	7	54	205.1 
476	0	7	55	266.3 
477	0	7	56	184.1 
478	0	7	57	 56.1 
479	0	7	58	 34.0 
480	0	7	59	 47.5 
481	0	8	0	 20.1 
482	0	8	1	 58.7 
483	0	8	2	 52.9 
484	0	8	3	 58.3 
485	0	8	4	 59.9 
486	0	8	5	 43.2 
487	0	8	6	 46.9 
488	0	8	7	 43.2 
489	0	8	8	 31.9 
490	0	8	9	 28.7 
491	0	8	10	 60.9 
492	0	8	11	 58.5 
493	0	8	12	 66.6 
494	0	8	13	 70.9 
495	0	8	14	 45.4 
496	0	8	15	 83.1 
497	0	8	16	150.1 
498	0	8	17	 96.5 
499	0	8	18	 88.3 
500	0	8	19	 73.6 
501	0	8	20	 79.2 
502	0	8	21	 50.7 
503	0	8	22	 63.8 
504	0	8	23	 36.7 
505	0	8	24	 27.4 
506	0	8	25	 28.0 
507	0	8	26	 30.9 
508	0	8	27	 19.0 
509	0	8	28	 13.7 
510	0	8	29	 49.3 
511	0	8	30	 44.5 
512	0	8	31	 20.5 
513	0	8	32	 44.4 
514	0	8	33	 80.0 
515	0	8	34	 53.2 
516	0	8	35	114.4 
517	0	8	36	118.1 
518	0	8	37	161.7 
519	0	8	38	103.8 
520	0	8	39	 88.9 
521	0	8	40	114.8 
522	0	8	41	 66.2 
523	0	8	42	 61.8 
524	0	8	43	 50.7 
525	0	8	44	 93.3 
526	0	8	45	 84.7 
527	0	8	46	 71.8 
528	0	8	47	 54.6 
529	0	8	48	 42.6 
530	0	8	49	 45.5 
531	0	8	50	 90.8 
532	0	8	51	112.3 
533	0	8	52	131.3 
534	0	8	53	 90.6 
535	0	8	54	 68.5 
536	0	8	55	 63.6 
537	0	8	56	 33.3 
538	0	8	57	128.7 
539	0	8	58	152.5 
540	0	8	59	 69.3 
541	0	9	0	 40.1 
542	0	9	1	 26.5 
543	0	9	2	 19.6 
544	0	9	3	 51.8 
545	0	9	4	 92.3 
546	0	9	5	128.6 
547	0	9	6	 93.0 
548	0	9	7	 91.0 
549	0	9	8	 91.0 
550	0	9	9	112.2 
551	0	9	10	108.8 
552	0	9	11	147.0 
553	0	9	12	143.5 
554	0	9	13	135.1 
555	0	9	14	124.4 
556	0	9	15	 92.8 
557	0	9	16	 97.8 
558	0	9	17	 45.2 
559	0	9	18	 47.3 
560	0	9	19	 54.8 
561	0	9	20	 51.6 
562	0	9	21	 39.0 
563	0	9	22	 72.0 
564	0	9	23	 56.3 
