              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 16:01:16 (11/3/2026) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	140.4 
2	0	0	1	150.5 
238	0	3	57	 88.8 
239	0	3	58	 73.2 
240	0	3	59	 78.3 
241	0	4	0	100.7 
242	0	4	1	 96.2 
243	0	4	2	101.5 
244	0	4	3	111.4 
245	0	4	4	122.6 
246	0	4	5	121.0 
247	0	4	6	 99.4 
248	0	4	7	103.3 
249	0	4	8	125.4 
250	0	4	9	155.2 
251	0	4	10	194.2 
252	0	4	11	226.5 
253	0	4	12	259.4 
254	0	4	13	238.4 
255	0	4	14	233.9 
256	0	4	15	223.0 
257	0	4	16	216.5 
258	0	4	17	194.7 
259	0	4	18	174.8 
260	0	4	19	166.0 
261	0	4	20	168.7 
262	0	4	21	162.7 
263	0	4	22	163.5 
264	0	4	23	175.0 
265	0	4	24	165.6 
266	0	4	25	166.4 
267	0	4	26	163.0 
268	0	4	27	152.7 
269	0	4	28	158.4 
270	0	4	29	117.6 
271	0	4	30	122.7 
272	0	4	31	121.6 
273	0	4	32	142.7 
274	0	4	33	172.8 
275	0	4	34	185.9 
276	0	4	35	197.6 
277	0	4	36	229.3 
278	0	4	37	252.9 
279	0	4	38	252.8 
280	0	4	39	255.2 
281	0	4	40	252.5 
282	0	4	41	250.0 
283	0	4	42	238.9 
284	0	4	43	210.7 
285	0	4	44	201.3 
286	0	4	45	181.1 
287	0	4	46	182.6 
288	0	4	47	175.8 
289	0	4	48	165.9 
290	0	4	49	177.1 
291	0	4	50	196.7 
292	0	4	51	201.0 
293	0	4	52	202.3 
294	0	4	53	175.9 
295	0	4	54	163.7 
296	0	4	55	149.8 
297	0	4	56	151.3 
298	0	4	57	162.6 
299	0	4	58	168.4 
300	0	4	59	174.6 
301	0	5	0	183.0 
302	0	5	1	171.1 
303	0	5	2	184.0 
304	0	5	3	220.4 
305	0	5	4	242.2 
306	0	5	5	269.8 
307	0	5	6	269.9 
308	0	5	7	283.7 
309	0	5	8	279.8 
310	0	5	9	281.0 
311	0	5	10	253.9 
312	0	5	11	247.6 
313	0	5	12	222.7 
314	0	5	13	221.5 
315	0	5	14	226.7 
316	0	5	15	214.7 
317	0	5	16	217.0 
318	0	5	17	210.1 
319	0	5	18	218.3 
320	0	5	19	216.8 
321	0	5	20	223.8 
322	0	5	21	224.6 
323	0	5	22	206.7 
324	0	5	23	212.5 
325	0	5	24	195.8 
326	0	5	25	227.5 
327	0	5	26	232.9 
328	0	5	27	199.8 
329	0	5	28	176.5 
330	0	5	29	179.1 
331	0	5	30	180.1 
332	0	5	31	197.9 
333	0	5	32	209.8 
334	0	5	33	228.6 
335	0	5	34	255.9 
336	0	5	35	240.5 
337	0	5	36	281.7 
338	0	5	37	300.1 
339	0	5	38	306.5 
340	0	5	39	295.3 
341	0	5	40	265.1 
342	0	5	41	249.7 
343	0	5	42	244.0 
344	0	5	43	238.2 
345	0	5	44	222.8 
346	0	5	45	223.6 
347	0	5	46	212.0 
348	0	5	47	224.6 
349	0	5	48	226.5 
350	0	5	49	187.5 
351	0	5	50	165.8 
352	0	5	51	164.2 
353	0	5	52	181.1 
354	0	5	53	182.8 
355	0	5	54	204.8 
356	0	5	55	171.0 
357	0	5	56	136.2 
358	0	5	57	154.5 
359	0	5	58	206.0 
360	0	5	59	227.1 
361	0	6	0	248.4 
362	0	6	1	279.2 
363	0	6	2	286.3 
364	0	6	3	304.1 
