              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 11:24:36 (29/9/2025)
DRT4 Serial Number: #3173
Comment: 
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0	 19.6	  0.0 
2	0	0	1	 15.8	  0.0 
164	0	2	43	152.9	  0.0 
165	0	2	44	167.2	  0.0 
166	0	2	45	116.4	  0.0 
167	0	2	46	 84.1	  0.0 
168	0	2	47	 81.2	  0.0 
169	0	2	48	 74.0	  0.0 
170	0	2	49	 81.8	  0.0 
171	0	2	50	235.0	  0.0 
172	0	2	51	175.4	  0.0 
173	0	2	52	189.6	  0.0 
174	0	2	53	183.2	  0.0 
175	0	2	54	165.2	  0.0 
176	0	2	55	100.1	  0.0 
177	0	2	56	143.3	  0.0 
178	0	2	57	114.5	  0.0 
179	0	2	58	105.2	  0.0 
180	0	2	59	113.9	  0.0 
181	0	3	0	107.3	  0.0 
182	0	3	1	 80.3	  0.0 
183	0	3	2	154.6	  0.0 
184	0	3	3	158.5	  0.0 
185	0	3	4	122.0	  0.0 
186	0	3	5	142.0	  0.0 
187	0	3	6	158.2	  0.0 
188	0	3	7	 94.1	  0.0 
189	0	3	8	115.8	  0.0 
190	0	3	9	100.8	  0.0 
191	0	3	10	122.7	  0.0 
192	0	3	11	 65.2	  0.0 
193	0	3	12	 82.0	  0.0 
194	0	3	13	 91.9	  0.0 
195	0	3	14	113.1	  0.0 
196	0	3	15	 86.7	  0.0 
197	0	3	16	 62.1	  0.0 
198	0	3	17	 41.2	  0.0 
199	0	3	18	 66.6	  0.0 
200	0	3	19	 80.2	  0.0 
201	0	3	20	101.9	  0.0 
202	0	3	21	149.8	  0.0 
