              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 13:35:32 (12/3/2026) 
DRT4 Serial Number: #3173 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 
1	0	0	0	 85.7 
2	0	0	1	 87.6 
233	0	3	52	140.8 
234	0	3	53	135.8 
235	0	3	54	121.0 
236	0	3	55	104.9 
237	0	3	56	 94.5 
238	0	3	57	121.8 
239	0	3	58	118.5 
240	0	3	59	114.0 
241	0	4	0	112.7 
242	0	4	1	101.9 
243	0	4	2	111.8 
244	0	4	3	105.8 
245	0	4	4	112.7 
246	0	4	5	114.7 
247	0	4	6	125.0 
248	0	4	7	162.1 
249	0	4	8	156.8 
250	0	4	9	137.4 
251	0	4	10	108.5 
252	0	4	11	119.0 
253	0	4	12	121.3 
254	0	4	13	113.2 
255	0	4	14	122.5 
256	0	4	15	 91.2 
257	0	4	16	112.1 
258	0	4	17	143.4 
259	0	4	18	147.8 
260	0	4	19	172.1 
261	0	4	20	181.0 
262	0	4	21	203.5 
263	0	4	22	198.4 
264	0	4	23	195.5 
265	0	4	24	173.8 
266	0	4	25	138.1 
267	0	4	26	119.1 
268	0	4	27	159.9 
269	0	4	28	185.0 
270	0	4	29	164.1 
271	0	4	30	102.4 
272	0	4	31	 87.3 
273	0	4	32	 70.7 
274	0	4	33	 62.8 
275	0	4	34	 72.9 
276	0	4	35	 68.1 
277	0	4	36	 76.6 
278	0	4	37	 65.1 
279	0	4	38	 56.9 
280	0	4	39	 73.8 
281	0	4	40	 73.7 
282	0	4	41	111.7 
283	0	4	42	115.4 
284	0	4	43	108.9 
285	0	4	44	150.8 
286	0	4	45	182.8 
287	0	4	46	261.7 
288	0	4	47	120.3 
289	0	4	48	102.6 
290	0	4	49	104.8 
291	0	4	50	122.6 
292	0	4	51	102.7 
293	0	4	52	153.2 
294	0	4	53	132.0 
295	0	4	54	128.3 
296	0	4	55	161.1 
297	0	4	56	196.5 
298	0	4	57	227.5 
299	0	4	58	224.2 
300	0	4	59	201.1 
301	0	5	0	172.8 
302	0	5	1	160.2 
303	0	5	2	191.2 
304	0	5	3	203.4 
305	0	5	4	137.2 
306	0	5	5	 93.3 
307	0	5	6	 91.1 
308	0	5	7	 83.6 
309	0	5	8	 66.5 
310	0	5	9	 74.5 
311	0	5	10	 61.2 
312	0	5	11	 69.8 
313	0	5	12	 78.5 
314	0	5	13	 91.4 
315	0	5	14	 82.8 
316	0	5	15	106.4 
317	0	5	16	111.6 
318	0	5	17	116.6 
319	0	5	18	105.6 
320	0	5	19	105.3 
321	0	5	20	107.0 
322	0	5	21	106.0 
323	0	5	22	106.2 
324	0	5	23	118.3 
325	0	5	24	126.8 
326	0	5	25	168.6 
327	0	5	26	230.8 
328	0	5	27	149.2 
329	0	5	28	136.7 
330	0	5	29	129.7 
331	0	5	30	133.7 
332	0	5	31	126.7 
333	0	5	32	136.0 
334	0	5	33	159.3 
335	0	5	34	162.2 
336	0	5	35	147.0 
337	0	5	36	131.4 
338	0	5	37	117.5 
339	0	5	38	 96.1 
340	0	5	39	 81.9 
341	0	5	40	 74.4 
