              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: Ethan
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 16:16:47 (29/9/2025)
DRT4 Serial Number: #3173
Comment: 3pts pulling
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0	 59.5	  0.0 
2	0	0	1	 62.0	  0.0 
3	0	0	2	 61.7	  0.0 
4	0	0	3	 62.8	  0.0 
5	0	0	4	 62.0	  0.0 
6	0	0	5	 62.7	  0.0 
7	0	0	6	 58.2	  0.0 
8	0	0	7	 59.0	  0.0 
9	0	0	8	 59.1	  0.0 
10	0	0	9	 65.0	  0.0 
11	0	0	10	 58.8	  0.0 
12	0	0	11	 60.5	  0.0 
13	0	0	12	 57.3	  0.0 
14	0	0	13	 72.6	  0.0 
15	0	0	14	 68.8	  0.0 
16	0	0	15	 56.2	  0.0 
17	0	0	16	 62.9	  0.0 
18	0	0	17	 65.4	  0.0 
19	0	0	18	 59.8	  0.0 
20	0	0	19	 68.9	  0.0 
21	0	0	20	 64.6	  0.0 
22	0	0	21	 66.3	  0.0 
23	0	0	22	 67.8	  0.0 
24	0	0	23	 63.0	  0.0 
25	0	0	24	 63.8	  0.0 
26	0	0	25	 61.0	  0.0 
27	0	0	26	 60.8	  0.0 
28	0	0	27	 59.8	  0.0 
29	0	0	28	 54.2	  0.0 
30	0	0	29	 56.7	  0.0 
31	0	0	30	 53.5	  0.0 
32	0	0	31	 56.1	  0.0 
33	0	0	32	 58.2	  0.0 
34	0	0	33	 53.6	  0.0 
35	0	0	34	 51.3	  0.0 
36	0	0	35	 53.5	  0.0 
37	0	0	36	 55.7	  0.0 
38	0	0	37	 63.8	  0.0 
39	0	0	38	 60.8	  0.0 
40	0	0	39	 64.5	  0.0 
41	0	0	40	 57.8	  0.0 
42	0	0	41	 58.1	  0.0 
43	0	0	42	 59.7	  0.0 
44	0	0	43	 58.9	  0.0 
45	0	0	44	 59.8	  0.0 
46	0	0	45	 60.1	  0.0 
47	0	0	46	 70.0	  0.0 
48	0	0	47	 62.1	  0.0 
49	0	0	48	 60.5	  0.0 
50	0	0	49	 62.3	  0.0 
51	0	0	50	 59.3	  0.0 
52	0	0	51	 60.7	  0.0 
53	0	0	52	 57.9	  0.0 
54	0	0	53	 59.0	  0.0 
55	0	0	54	 56.8	  0.0 
56	0	0	55	 62.2	  0.0 
57	0	0	56	 54.4	  0.0 
58	0	0	57	 39.0	  0.0 
59	0	0	58	 25.3	  0.0 
60	0	0	59	 19.7	  0.0 
61	0	1	0	 68.4	  0.0 
62	0	1	1	 67.3	  0.0 
63	0	1	2	 68.5	  0.0 
64	0	1	3	 74.3	  0.0 
65	0	1	4	 67.8	  0.0 
66	0	1	5	 60.4	  0.0 
67	0	1	6	 51.5	  0.0 
68	0	1	7	 60.9	  0.0 
69	0	1	8	 60.4	  0.0 
70	0	1	9	 60.5	  0.0 
71	0	1	10	 80.3	  0.0 
72	0	1	11	 91.8	  0.0 
73	0	1	12	 85.3	  0.0 
74	0	1	13	 89.2	  0.0 
75	0	1	14	 74.1	  0.0 
76	0	1	15	 69.0	  0.0 
77	0	1	16	 58.8	  0.0 
78	0	1	17	 58.9	  0.0 
79	0	1	18	 59.7	  0.0 
80	0	1	19	 63.9	  0.0 
81	0	1	20	 59.1	  0.0 
82	0	1	21	 57.6	  0.0 
83	0	1	22	 61.8	  0.0 
84	0	1	23	 52.7	  0.0 
85	0	1	24	 59.3	  0.0 
86	0	1	25	 61.6	  0.0 
87	0	1	26	 55.2	  0.0 
88	0	1	27	 57.2	  0.0 
89	0	1	28	 59.4	  0.0 
90	0	1	29	 65.9	  0.0 
91	0	1	30	 66.4	  0.0 
92	0	1	31	 62.2	  0.0 
93	0	1	32	 58.4	  0.0 
94	0	1	33	 58.9	  0.0 
95	0	1	34	 58.6	  0.0 
96	0	1	35	 58.4	  0.0 
97	0	1	36	 63.5	  0.0 
98	0	1	37	 56.9	  0.0 
99	0	1	38	 60.3	  0.0 
100	0	1	39	 56.3	  0.0 
101	0	1	40	 58.1	  0.0 
102	0	1	41	 59.9	  0.0 
103	0	1	42	 62.6	  0.0 
104	0	1	43	 62.4	  0.0 
105	0	1	44	 63.7	  0.0 
106	0	1	45	 55.8	  0.0 
107	0	1	46	 57.1	  0.0 
108	0	1	47	 53.7	  0.0 
109	0	1	48	 56.6	  0.0 
110	0	1	49	 49.2	  0.0 
111	0	1	50	 58.5	  0.0 
112	0	1	51	 58.1	  0.0 
113	0	1	52	 59.0	  0.0 
114	0	1	53	 60.0	  0.0 
115	0	1	54	 53.5	  0.0 
116	0	1	55	 60.4	  0.0 
117	0	1	56	 59.7	  0.0 
118	0	1	57	 68.4	  0.0 
119	0	1	58	 64.2	  0.0 
120	0	1	59	 64.0	  0.0 
121	0	2	0	 33.1	  0.0 
122	0	2	1	 40.9	  0.0 
