              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 17:01:33 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
208	0	3	27	 86.2	  0.0 
209	0	3	28	 92.9	  0.0 
210	0	3	29	201.6	  0.0 
211	0	3	30	137.4	  0.0 
212	0	3	31	128.1	  0.0 
213	0	3	32	103.9	  0.0 
214	0	3	33	 60.7	  0.0 
215	0	3	34	 60.0	  0.0 
216	0	3	35	 70.6	  0.0 
217	0	3	36	 62.9	  0.0 
218	0	3	37	 39.2	  0.0 
219	0	3	38	 51.9	  0.0 
220	0	3	39	 52.4	  0.0 
221	0	3	40	 66.8	  0.0 
222	0	3	41	103.2	  0.0 
223	0	3	42	123.2	  0.0 
224	0	3	43	 82.7	  0.0 
225	0	3	44	 85.7	  0.0 
226	0	3	45	 40.4	  0.0 
227	0	3	46	 33.2	  0.0 
228	0	3	47	 39.6	  0.0 
229	0	3	48	 42.4	  0.0 
230	0	3	49	 70.8	  0.0 
231	0	3	50	 83.5	  0.0 
232	0	3	51	 54.6	  0.0 
233	0	3	52	 49.7	  0.0 
234	0	3	53	 68.9	  0.0 
235	0	3	54	 73.3	  0.0 
236	0	3	55	 89.2	  0.0 
237	0	3	56	 93.9	  0.0 
238	0	3	57	 48.0	  0.0 
239	0	3	58	 30.5	  0.0 
240	0	3	59	 23.2	  0.0 
241	0	4	0	 32.1	  0.0 
242	0	4	1	 39.1	  0.0 
243	0	4	2	 47.3	  0.0 
244	0	4	3	 53.1	  0.0 
245	0	4	4	 60.8	  0.0 
246	0	4	5	 60.0	  0.0 
247	0	4	6	 91.2	  0.0 
248	0	4	7	 89.6	  0.0 
249	0	4	8	 75.8	  0.0 
250	0	4	9	 39.5	  0.0 
251	0	4	10	 28.6	  0.0 
252	0	4	11	 58.7	  0.0 
253	0	4	12	 31.6	  0.0 
254	0	4	13	 41.9	  0.0 
255	0	4	14	 21.2	  0.0 
256	0	4	15	 28.0	  0.0 
257	0	4	16	 50.9	  0.0 
258	0	4	17	 67.2	  0.0 
259	0	4	18	112.5	  0.0 
260	0	4	19	100.9	  0.0 
261	0	4	20	 80.8	  0.0 
262	0	4	21	 25.3	  0.0 
263	0	4	22	 29.0	  0.0 
264	0	4	23	 27.5	  0.0 
265	0	4	24	 23.5	  0.0 
266	0	4	25	 34.6	  0.0 
267	0	4	26	 39.0	  0.0 
268	0	4	27	 44.7	  0.0 
269	0	4	28	 78.6	  0.0 
270	0	4	29	112.0	  0.0 
271	0	4	30	 99.7	  0.0 
272	0	4	31	 73.2	  0.0 
273	0	4	32	 64.1	  0.0 
274	0	4	33	 27.4	  0.0 
275	0	4	34	 21.8	  0.0 
276	0	4	35	 17.6	  0.0 
277	0	4	36	 23.0	  0.0 
278	0	4	37	 55.4	  0.0 
279	0	4	38	 58.2	  0.0 
280	0	4	39	 49.1	  0.0 
281	0	4	40	 62.7	  0.0 
282	0	4	41	 89.3	  0.0 
283	0	4	42	113.5	  0.0 
284	0	4	43	 92.9	  0.0 
285	0	4	44	127.2	  0.0 
286	0	4	45	 46.8	  0.0 
287	0	4	46	 39.7	  0.0 
288	0	4	47	 31.1	  0.0 
289	0	4	48	 39.0	  0.0 
290	0	4	49	 19.4	  0.0 
291	0	4	50	 47.0	  0.0 
292	0	4	51	 52.1	  0.0 
293	0	4	52	 53.7	  0.0 
294	0	4	53	 53.7	  0.0 
295	0	4	54	 88.6	  0.0 
296	0	4	55	 66.2	  0.0 
297	0	4	56	 89.0	  0.0 
298	0	4	57	 30.2	  0.0 
299	0	4	58	 24.6	  0.0 
300	0	4	59	 34.7	  0.0 
301	0	5	0	 34.3	  0.0 
302	0	5	1	 79.7	  0.0 
303	0	5	2	 85.8	  0.0 
304	0	5	3	 97.0	  0.0 
305	0	5	4	123.9	  0.0 
306	0	5	5	164.2	  0.0 
307	0	5	6	186.7	  0.0 
308	0	5	7	 91.6	  0.0 
309	0	5	8	 67.2	  0.0 
310	0	5	9	 73.2	  0.0 
311	0	5	10	 58.1	  0.0 
312	0	5	11	 58.2	  0.0 
313	0	5	12	 57.4	  0.0 
314	0	5	13	 92.0	  0.0 
315	0	5	14	 82.7	  0.0 
316	0	5	15	 93.3	  0.0 
317	0	5	16	160.1	  0.0 
318	0	5	17	136.0	  0.0 
319	0	5	18	180.4	  0.0 
320	0	5	19	 87.7	  0.0 
321	0	5	20	 76.6	  0.0 
322	0	5	21	 74.8	  0.0 
323	0	5	22	 67.8	  0.0 
324	0	5	23	 83.8	  0.0 
325	0	5	24	142.7	  0.0 
326	0	5	25	110.2	  0.0 
327	0	5	26	127.6	  0.0 
328	0	5	27	137.2	  0.0 
329	0	5	28	159.6	  0.0 
330	0	5	29	217.6	  0.0 
331	0	5	30	259.0	  0.0 
332	0	5	31	 84.7	  0.0 
333	0	5	32	 59.8	  0.0 
334	0	5	33	 56.8	  0.0 
335	0	5	34	 43.3	  0.0 
336	0	5	35	 40.8	  0.0 
337	0	5	36	 67.7	  0.0 
338	0	5	37	 91.0	  0.0 
339	0	5	38	141.7	  0.0 
340	0	5	39	116.2	  0.0 
341	0	5	40	115.8	  0.0 
342	0	5	41	186.6	  0.0 
343	0	5	42	174.6	  0.0 
344	0	5	43	 89.9	  0.0 
345	0	5	44	 89.6	  0.0 
346	0	5	45	 83.2	  0.0 
347	0	5	46	 78.9	  0.0 
348	0	5	47	 48.6	  0.0 
349	0	5	48	 38.0	  0.0 
350	0	5	49	 82.7	  0.0 
351	0	5	50	 73.7	  0.0 
352	0	5	51	 66.1	  0.0 
353	0	5	52	 84.4	  0.0 
354	0	5	53	133.1	  0.0 
355	0	5	54	154.7	  0.0 
356	0	5	55	138.9	  0.0 
357	0	5	56	118.7	  0.0 
358	0	5	57	 74.0	  0.0 
359	0	5	58	 62.5	  0.0 
360	0	5	59	 62.0	  0.0 
361	0	6	0	 24.7	  0.0 
362	0	6	1	 24.5	  0.0 
363	0	6	2	 33.5	  0.0 
364	0	6	3	 30.6	  0.0 
365	0	6	4	 20.3	  0.0 
366	0	6	5	 14.0	  0.0 
367	0	6	6	 21.8	  0.0 
368	0	6	7	 18.3	  0.0 
369	0	6	8	 21.7	  0.0 
370	0	6	9	 16.8	  0.0 
371	0	6	10	 20.6	  0.0 
372	0	6	11	 15.3	  0.0 
373	0	6	12	  8.4	  0.0 
374	0	6	13	 11.8	  0.0 
375	0	6	14	 10.1	  0.0 
376	0	6	15	 11.4	  0.0 
377	0	6	16	  8.8	  0.0 
378	0	6	17	  7.6	  0.0 
379	0	6	18	 12.4	  0.0 
380	0	6	19	 15.0	  0.0 
381	0	6	20	  9.9	  0.0 
382	0	6	21	  9.3	  0.0 
383	0	6	22	 11.4	  0.0 
384	0	6	23	 17.5	  0.0 
385	0	6	24	 14.1	  0.0 
386	0	6	25	 14.4	  0.0 
387	0	6	26	  8.9	  0.0 
388	0	6	27	  6.6	  0.0 
389	0	6	28	  8.3	  0.0 
390	0	6	29	 10.0	  0.0 
391	0	6	30	  8.2	  0.0 
392	0	6	31	 14.4	  0.0 
393	0	6	32	 36.3	  0.0 
394	0	6	33	 37.3	  0.0 
395	0	6	34	 41.2	  0.0 
396	0	6	35	 34.1	  0.0 
397	0	6	36	 27.3	  0.0 
398	0	6	37	 20.3	  0.0 
399	0	6	38	 21.6	  0.0 
400	0	6	39	 11.6	  0.0 
401	0	6	40	 16.5	  0.0 
402	0	6	41	  6.9	  0.0 
403	0	6	42	 21.7	  0.0 
404	0	6	43	 17.0	  0.0 
405	0	6	44	 27.0	  0.0 
406	0	6	45	 12.8	  0.0 
407	0	6	46	 21.2	  0.0 
408	0	6	47	 15.1	  0.0 
409	0	6	48	 29.6	  0.0 
410	0	6	49	 26.2	  0.0 
411	0	6	50	 41.4	  0.0 
412	0	6	51	 38.5	  0.0 
413	0	6	52	 47.6	  0.0 
414	0	6	53	 39.8	  0.0 
415	0	6	54	 40.1	  0.0 
416	0	6	55	 43.1	  0.0 
417	0	6	56	 36.6	  0.0 
418	0	6	57	 24.5	  0.0 
419	0	6	58	 37.8	  0.0 
420	0	6	59	 38.0	  0.0 
421	0	7	0	 44.8	  0.0 
422	0	7	1	 46.7	  0.0 
423	0	7	2	 55.5	  0.0 
424	0	7	3	 47.7	  0.0 
425	0	7	4	 58.6	  0.0 
426	0	7	5	 39.3	  0.0 
427	0	7	6	 30.6	  0.0 
428	0	7	7	 24.8	  0.0 
429	0	7	8	 20.2	  0.0 
430	0	7	9	 19.5	  0.0 
431	0	7	10	 31.5	  0.0 
432	0	7	11	 33.4	  0.0 
433	0	7	12	 63.6	  0.0 
434	0	7	13	 59.5	  0.0 
435	0	7	14	 68.0	  0.0 
436	0	7	15	 84.1	  0.0 
437	0	7	16	 51.7	  0.0 
438	0	7	17	 37.8	  0.0 
439	0	7	18	 45.3	  0.0 
440	0	7	19	 28.0	  0.0 
441	0	7	20	 24.8	  0.0 
442	0	7	21	 20.8	  0.0 
443	0	7	22	 23.9	  0.0 
444	0	7	23	 24.5	  0.0 
445	0	7	24	 45.4	  0.0 
446	0	7	25	 67.1	  0.0 
447	0	7	26	 76.2	  0.0 
448	0	7	27	 80.9	  0.0 
449	0	7	28	 76.8	  0.0 
450	0	7	29	 52.6	  0.0 
451	0	7	30	 51.0	  0.0 
452	0	7	31	 56.8	  0.0 
453	0	7	32	 54.0	  0.0 
454	0	7	33	 24.9	  0.0 
455	0	7	34	 24.8	  0.0 
456	0	7	35	 31.5	  0.0 
457	0	7	36	 46.8	  0.0 
458	0	7	37	 34.8	  0.0 
459	0	7	38	 45.1	  0.0 
460	0	7	39	 66.9	  0.0 
461	0	7	40	 39.5	  0.0 
462	0	7	41	 51.8	  0.0 
463	0	7	42	 40.4	  0.0 
464	0	7	43	 26.2	  0.0 
465	0	7	44	 23.9	  0.0 
466	0	7	45	 46.4	  0.0 
467	0	7	46	 36.1	  0.0 
468	0	7	47	 29.3	  0.0 
469	0	7	48	 31.5	  0.0 
470	0	7	49	 61.9	  0.0 
471	0	7	50	 70.8	  0.0 
472	0	7	51	 75.1	  0.0 
473	0	7	52	 59.5	  0.0 
474	0	7	53	 45.8	  0.0 
475	0	7	54	 35.0	  0.0 
476	0	7	55	 54.3	  0.0 
477	0	7	56	 39.0	  0.0 
478	0	7	57	 35.3	  0.0 
479	0	7	58	 43.7	  0.0 
480	0	7	59	 35.2	  0.0 
481	0	8	0	 76.2	  0.0 
482	0	8	1	106.8	  0.0 
483	0	8	2	129.4	  0.0 
484	0	8	3	126.8	  0.0 
485	0	8	4	 52.5	  0.0 
486	0	8	5	 50.7	  0.0 
487	0	8	6	 30.2	  0.0 
488	0	8	7	 54.7	  0.0 
489	0	8	8	 87.2	  0.0 
490	0	8	9	101.8	  0.0 
491	0	8	10	 67.3	  0.0 
492	0	8	11	 77.8	  0.0 
493	0	8	12	 89.4	  0.0 
494	0	8	13	123.8	  0.0 
495	0	8	14	208.5	  0.0 
496	0	8	15	125.6	  0.0 
497	0	8	16	121.8	  0.0 
498	0	8	17	 72.8	  0.0 
