              DRT4 Data File V2.0
============================================================

1) Subject Information
Subject Name: 
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 16:21:02 (8/10/2025)
DRT4 Serial Number: #3173
Comment: 

2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2



4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
131	0	2	10	 17.8	  0.0 
132	0	2	11	 18.8	  0.0 
133	0	2	12	 23.7	  0.0 
134	0	2	13	 20.0	  0.0 
135	0	2	14	 17.7	  0.0 
136	0	2	15	 14.5	  0.0 
137	0	2	16	 11.8	  0.0 
138	0	2	17	 13.1	  0.0 
139	0	2	18	 15.5	  0.0 
140	0	2	19	 20.6	  0.0 
141	0	2	20	 11.0	  0.0 
142	0	2	21	 12.1	  0.0 
143	0	2	22	 10.2	  0.0 
144	0	2	23	 18.6	  0.0 
145	0	2	24	 25.4	  0.0 
146	0	2	25	 20.2	  0.0 
147	0	2	26	 12.5	  0.0 
148	0	2	27	 23.8	  0.0 
149	0	2	28	 22.7	  0.0 
150	0	2	29	 27.8	  0.0 
151	0	2	30	 39.6	  0.0 
152	0	2	31	 34.1	  0.0 
153	0	2	32	 13.8	  0.0 
154	0	2	33	 14.9	  0.0 
155	0	2	34	 17.3	  0.0 
156	0	2	35	 15.6	  0.0 
157	0	2	36	 21.3	  0.0 
158	0	2	37	 25.8	  0.0 
159	0	2	38	 20.0	  0.0 
160	0	2	39	 19.8	  0.0 
161	0	2	40	 21.2	  0.0 
162	0	2	41	 26.1	  0.0 
163	0	2	42	 30.7	  0.0 
164	0	2	43	 19.6	  0.0 
165	0	2	44	 13.9	  0.0 
166	0	2	45	 20.0	  0.0 
167	0	2	46	 18.5	  0.0 
168	0	2	47	 20.8	  0.0 
169	0	2	48	 32.0	  0.0 
170	0	2	49	 25.3	  0.0 
171	0	2	50	 25.2	  0.0 
172	0	2	51	 25.3	  0.0 
173	0	2	52	 26.0	  0.0 
174	0	2	53	 23.8	  0.0 
175	0	2	54	 21.0	  0.0 
176	0	2	55	 17.9	  0.0 
177	0	2	56	 13.3	  0.0 
178	0	2	57	 14.7	  0.0 
179	0	2	58	 20.6	  0.0 
180	0	2	59	 22.0	  0.0 
181	0	3	0	 28.7	  0.0 
182	0	3	1	 21.2	  0.0 
183	0	3	2	 52.6	  0.0 
184	0	3	3	 33.8	  0.0 
185	0	3	4	 21.7	  0.0 
186	0	3	5	 69.6	  0.0 
187	0	3	6	 58.8	  0.0 
188	0	3	7	 71.5	  0.0 
189	0	3	8	 73.9	  0.0 
190	0	3	9	 50.1	  0.0 
191	0	3	10	 42.3	  0.0 
192	0	3	11	 36.7	  0.0 
193	0	3	12	 29.5	  0.0 
194	0	3	13	 29.9	  0.0 
195	0	3	14	 52.3	  0.0 
196	0	3	15	 62.0	  0.0 
197	0	3	16	 94.9	  0.0 
198	0	3	17	 90.8	  0.0 
199	0	3	18	 54.4	  0.0 
200	0	3	19	 53.8	  0.0 
201	0	3	20	 23.8	  0.0 
202	0	3	21	 59.4	  0.0 
203	0	3	22	 78.3	  0.0 
204	0	3	23	 91.7	  0.0 
205	0	3	24	108.7	  0.0 
206	0	3	25	 54.4	  0.0 
207	0	3	26	 16.9	  0.0 
208	0	3	27	 20.0	  0.0 
209	0	3	28	 23.5	  0.0 
210	0	3	29	 23.2	  0.0 
211	0	3	30	 20.7	  0.0 
212	0	3	31	 12.8	  0.0 
213	0	3	32	 26.4	  0.0 
214	0	3	33	 43.3	  0.0 
215	0	3	34	 40.0	  0.0 
216	0	3	35	 37.3	  0.0 
217	0	3	36	 35.2	  0.0 
218	0	3	37	 36.7	  0.0 
219	0	3	38	 44.3	  0.0 
220	0	3	39	 40.0	  0.0 
221	0	3	40	 33.0	  0.0 
222	0	3	41	 45.0	  0.0 
223	0	3	42	 29.6	  0.0 
224	0	3	43	 35.4	  0.0 
225	0	3	44	 43.8	  0.0 
226	0	3	45	 36.0	  0.0 
227	0	3	46	 27.4	  0.0 
228	0	3	47	 44.9	  0.0 
229	0	3	48	 44.7	  0.0 
230	0	3	49	 41.3	  0.0 
231	0	3	50	132.9	  0.0 
232	0	3	51	 86.9	  0.0 
233	0	3	52	 97.2	  0.0 
234	0	3	53	 77.6	  0.0 
235	0	3	54	 87.1	  0.0 
236	0	3	55	 54.5	  0.0 
237	0	3	56	 36.5	  0.0 
238	0	3	57	 33.5	  0.0 
239	0	3	58	 41.7	  0.0 
240	0	3	59	 45.9	  0.0 
241	0	4	0	 27.8	  0.0 
242	0	4	1	 67.2	  0.0 
243	0	4	2	 39.0	  0.0 
244	0	4	3	 38.0	  0.0 
245	0	4	4	 40.1	  0.0 
246	0	4	5	 36.0	  0.0 
247	0	4	6	 36.3	  0.0 
248	0	4	7	 42.7	  0.0 
249	0	4	8	 29.6	  0.0 
250	0	4	9	 23.3	  0.0 
251	0	4	10	 18.6	  0.0 
252	0	4	11	 27.1	  0.0 
253	0	4	12	 21.1	  0.0 
254	0	4	13	 43.8	  0.0 
255	0	4	14	 85.4	  0.0 
256	0	4	15	 44.6	  0.0 
257	0	4	16	 32.9	  0.0 
258	0	4	17	 38.8	  0.0 
259	0	4	18	 35.4	  0.0 
260	0	4	19	 34.8	  0.0 
261	0	4	20	 30.5	  0.0 
262	0	4	21	 19.9	  0.0 
263	0	4	22	 20.7	  0.0 
264	0	4	23	 23.9	  0.0 
265	0	4	24	 24.9	  0.0 
266	0	4	25	 51.9	  0.0 
267	0	4	26	 69.2	  0.0 
268	0	4	27	 40.0	  0.0 
269	0	4	28	 50.8	  0.0 
270	0	4	29	 44.4	  0.0 
271	0	4	30	 66.6	  0.0 
272	0	4	31	 50.2	  0.0 
273	0	4	32	 27.5	  0.0 
274	0	4	33	 23.3	  0.0 
275	0	4	34	 20.3	  0.0 
276	0	4	35	 19.5	  0.0 
277	0	4	36	 25.6	  0.0 
278	0	4	37	 31.8	  0.0 
279	0	4	38	 88.5	  0.0 
280	0	4	39	 44.0	  0.0 
281	0	4	40	 42.5	  0.0 
282	0	4	41	 31.7	  0.0 
283	0	4	42	 40.9	  0.0 
284	0	4	43	 51.5	  0.0 
285	0	4	44	 32.6	  0.0 
286	0	4	45	 22.1	  0.0 
287	0	4	46	 13.9	  0.0 
288	0	4	47	 13.5	  0.0 
289	0	4	48	 15.4	  0.0 
290	0	4	49	 44.1	  0.0 
291	0	4	50	 22.9	  0.0 
292	0	4	51	 23.2	  0.0 
293	0	4	52	 21.9	  0.0 
294	0	4	53	 38.1	  0.0 
295	0	4	54	 32.2	  0.0 
296	0	4	55	 32.6	  0.0 
297	0	4	56	 31.8	  0.0 
298	0	4	57	 28.8	  0.0 
299	0	4	58	 20.8	  0.0 
300	0	4	59	 19.7	  0.0 
301	0	5	0	 25.0	  0.0 
302	0	5	1	 42.0	  0.0 
303	0	5	2	 44.8	  0.0 
304	0	5	3	 38.2	  0.0 
305	0	5	4	 37.5	  0.0 
306	0	5	5	 39.8	  0.0 
307	0	5	6	 53.3	  0.0 
308	0	5	7	 28.8	  0.0 
309	0	5	8	 13.5	  0.0 
310	0	5	9	 17.8	  0.0 
311	0	5	10	  8.6	  0.0 
312	0	5	11	  9.1	  0.0 
313	0	5	12	 25.6	  0.0 
314	0	5	13	 43.6	  0.0 
315	0	5	14	 23.6	  0.0 
316	0	5	15	 18.1	  0.0 
317	0	5	16	 27.1	  0.0 
318	0	5	17	 14.6	  0.0 
319	0	5	18	 20.8	  0.0 
