              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name: cindi
Subject No: 
Date of Birth: 
Subject Address: 
Operator:  
Date: 17:09:34 (19/9/2025)
DRT4 Serial Number: #3173
Comment: 0-4min outergate
4-8 min hand3miles
8-12 hand5miles

420-424, 484-486 Error Seconds
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   1/sec 
Time Constant: off 
Time Offset: 0.5 sec 
Time Offset: 0 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0	 21.9	  0.0 
2	0	0	1	  8.3	  0.0 
3	0	0	2	  7.0	  0.0 
4	0	0	3	  6.1	  0.0 
5	0	0	4	  7.9	  0.0 
6	0	0	5	  5.8	  0.0 
7	0	0	6	  8.5	  0.0 
8	0	0	7	 11.6	  0.0 
9	0	0	8	  6.6	  0.0 
10	0	0	9	  8.6	  0.0 
11	0	0	10	 15.0	  0.0 
12	0	0	11	 14.4	  0.0 
13	0	0	12	 18.4	  0.0 
14	0	0	13	 19.3	  0.0 
15	0	0	14	 15.3	  0.0 
16	0	0	15	 14.5	  0.0 
17	0	0	16	  7.2	  0.0 
18	0	0	17	  5.8	  0.0 
19	0	0	18	  6.3	  0.0 
20	0	0	19	  7.2	  0.0 
21	0	0	20	  5.9	  0.0 
22	0	0	21	  5.4	  0.0 
23	0	0	22	  6.0	  0.0 
24	0	0	23	  7.4	  0.0 
25	0	0	24	  5.2	  0.0 
26	0	0	25	 11.5	  0.0 
27	0	0	26	  7.4	  0.0 
28	0	0	27	  4.3	  0.0 
29	0	0	28	 11.4	  0.0 
30	0	0	29	  7.4	  0.0 
31	0	0	30	  9.6	  0.0 
32	0	0	31	  7.7	  0.0 
33	0	0	32	  4.7	  0.0 
34	0	0	33	  6.4	  0.0 
35	0	0	34	  8.2	  0.0 
36	0	0	35	  4.6	  0.0 
37	0	0	36	  7.8	  0.0 
38	0	0	37	 17.1	  0.0 
39	0	0	38	 10.6	  0.0 
40	0	0	39	 14.6	  0.0 
41	0	0	40	 17.9	  0.0 
42	0	0	41	 18.6	  0.0 
43	0	0	42	  7.8	  0.0 
44	0	0	43	  9.8	  0.0 
45	0	0	44	  5.9	  0.0 
46	0	0	45	  3.9	  0.0 
47	0	0	46	  5.9	  0.0 
48	0	0	47	  4.3	  0.0 
49	0	0	48	  7.2	  0.0 
50	0	0	49	  7.7	  0.0 
51	0	0	50	  8.9	  0.0 
52	0	0	51	  8.6	  0.0 
53	0	0	52	 25.8	  0.0 
54	0	0	53	  7.8	  0.0 
55	0	0	54	  8.8	  0.0 
56	0	0	55	  5.7	  0.0 
57	0	0	56	  3.3	  0.0 
58	0	0	57	  3.9	  0.0 
59	0	0	58	  7.6	  0.0 
60	0	0	59	  6.9	  0.0 
61	0	1	0	  6.8	  0.0 
62	0	1	1	  7.9	  0.0 
63	0	1	2	  9.2	  0.0 
64	0	1	3	 21.8	  0.0 
65	0	1	4	  9.8	  0.0 
66	0	1	5	 12.3	  0.0 
67	0	1	6	 14.6	  0.0 
68	0	1	7	 29.3	  0.0 
69	0	1	8	 18.7	  0.0 
70	0	1	9	 30.8	  0.0 
71	0	1	10	 28.2	  0.0 
72	0	1	11	 25.8	  0.0 
73	0	1	12	 18.6	  0.0 
74	0	1	13	 31.4	  0.0 
75	0	1	14	 50.3	  0.0 
76	0	1	15	 98.3	  0.0 
77	0	1	16	111.6	  0.0 
78	0	1	17	 83.4	  0.0 
79	0	1	18	 85.6	  0.0 
80	0	1	19	108.1	  0.0 
81	0	1	20	103.7	  0.0 
82	0	1	21	 83.4	  0.0 
83	0	1	22	 52.3	  0.0 
84	0	1	23	 88.0	  0.0 
85	0	1	24	 50.7	  0.0 
86	0	1	25	 56.4	  0.0 
87	0	1	26	 48.2	  0.0 
88	0	1	27	 42.1	  0.0 
89	0	1	28	 35.1	  0.0 
90	0	1	29	 25.9	  0.0 
91	0	1	30	 30.4	  0.0 
92	0	1	31	 43.7	  0.0 
93	0	1	32	 29.6	  0.0 
94	0	1	33	 14.8	  0.0 
95	0	1	34	 28.6	  0.0 
96	0	1	35	 28.2	  0.0 
97	0	1	36	 13.5	  0.0 
98	0	1	37	 14.7	  0.0 
99	0	1	38	 15.2	  0.0 
100	0	1	39	 25.1	  0.0 
101	0	1	40	 11.9	  0.0 
102	0	1	41	 13.6	  0.0 
103	0	1	42	 29.6	  0.0 
104	0	1	43	 17.8	  0.0 
105	0	1	44	 15.6	  0.0 
106	0	1	45	 10.8	  0.0 
107	0	1	46	 16.6	  0.0 
108	0	1	47	  6.7	  0.0 
109	0	1	48	 41.4	  0.0 
110	0	1	49	 23.8	  0.0 
111	0	1	50	 22.6	  0.0 
112	0	1	51	 34.4	  0.0 
113	0	1	52	 39.5	  0.0 
114	0	1	53	 21.9	  0.0 
115	0	1	54	 23.7	  0.0 
116	0	1	55	 20.2	  0.0 
117	0	1	56	 15.8	  0.0 
118	0	1	57	 18.6	  0.0 
119	0	1	58	 13.3	  0.0 
120	0	1	59	  9.5	  0.0 
121	0	2	0	 58.8	  0.0 
122	0	2	1	 33.7	  0.0 
123	0	2	2	 42.6	  0.0 
124	0	2	3	 62.6	  0.0 
125	0	2	4	 37.8	  0.0 
126	0	2	5	 32.9	  0.0 
127	0	2	6	 78.6	  0.0 
128	0	2	7	 66.3	  0.0 
129	0	2	8	 36.6	  0.0 
130	0	2	9	 79.4	  0.0 
131	0	2	10	 75.8	  0.0 
132	0	2	11	 76.1	  0.0 
133	0	2	12	101.5	  0.0 
134	0	2	13	110.8	  0.0 
135	0	2	14	 64.3	  0.0 
136	0	2	15	 33.1	  0.0 
137	0	2	16	 83.8	  0.0 
138	0	2	17	 56.2	  0.0 
139	0	2	18	 46.6	  0.0 
140	0	2	19	 54.0	  0.0 
141	0	2	20	 78.9	  0.0 
142	0	2	21	 63.9	  0.0 
143	0	2	22	 47.5	  0.0 
144	0	2	23	 28.7	  0.0 
145	0	2	24	 26.6	  0.0 
146	0	2	25	119.2	  0.0 
147	0	2	26	131.8	  0.0 
148	0	2	27	137.7	  0.0 
149	0	2	28	 59.9	  0.0 
150	0	2	29	124.8	  0.0 
151	0	2	30	 66.9	  0.0 
152	0	2	31	 72.4	  0.0 
153	0	2	32	 67.9	  0.0 
154	0	2	33	 87.3	  0.0 
155	0	2	34	 62.7	  0.0 
156	0	2	35	 64.6	  0.0 
157	0	2	36	 75.6	  0.0 
158	0	2	37	118.6	  0.0 
159	0	2	38	 82.8	  0.0 
160	0	2	39	 57.6	  0.0 
161	0	2	40	119.0	  0.0 
162	0	2	41	 63.8	  0.0 
163	0	2	42	 53.6	  0.0 
164	0	2	43	 77.1	  0.0 
165	0	2	44	 78.6	  0.0 
166	0	2	45	 64.0	  0.0 
167	0	2	46	 63.1	  0.0 
168	0	2	47	 54.2	  0.0 
169	0	2	48	 83.6	  0.0 
170	0	2	49	 60.1	  0.0 
171	0	2	50	 61.6	  0.0 
172	0	2	51	104.5	  0.0 
173	0	2	52	 78.4	  0.0 
174	0	2	53	 72.1	  0.0 
175	0	2	54	 73.4	  0.0 
176	0	2	55	 54.8	  0.0 
177	0	2	56	 43.3	  0.0 
178	0	2	57	 42.0	  0.0 
179	0	2	58	 22.8	  0.0 
180	0	2	59	 22.9	  0.0 
181	0	3	0	 30.6	  0.0 
182	0	3	1	 99.4	  0.0 
183	0	3	2	100.3	  0.0 
184	0	3	3	109.3	  0.0 
185	0	3	4	 73.6	  0.0 
186	0	3	5	 96.3	  0.0 
187	0	3	6	 70.7	  0.0 
188	0	3	7	 28.0	  0.0 
189	0	3	8	 28.8	  0.0 
190	0	3	9	 35.5	  0.0 
191	0	3	10	 43.5	  0.0 
192	0	3	11	 34.6	  0.0 
193	0	3	12	117.1	  0.0 
194	0	3	13	162.8	  0.0 
195	0	3	14	 70.3	  0.0 
196	0	3	15	100.0	  0.0 
197	0	3	16	115.2	  0.0 
198	0	3	17	111.8	  0.0 
199	0	3	18	117.6	  0.0 
200	0	3	19	120.3	  0.0 
201	0	3	20	 56.0	  0.0 
202	0	3	21	 64.5	  0.0 
203	0	3	22	 59.1	  0.0 
204	0	3	23	 86.7	  0.0 
205	0	3	24	106.8	  0.0 
206	0	3	25	 97.6	  0.0 
207	0	3	26	 75.4	  0.0 
208	0	3	27	128.6	  0.0 
209	0	3	28	136.8	  0.0 
210	0	3	29	130.0	  0.0 
211	0	3	30	126.7	  0.0 
212	0	3	31	 73.1	  0.0 
213	0	3	32	 46.7	  0.0 
214	0	3	33	 28.2	  0.0 
215	0	3	34	 52.1	  0.0 
216	0	3	35	 48.4	  0.0 
217	0	3	36	 79.9	  0.0 
218	0	3	37	 97.4	  0.0 
219	0	3	38	 66.3	  0.0 
220	0	3	39	 79.0	  0.0 
221	0	3	40	145.7	  0.0 
222	0	3	41	154.5	  0.0 
223	0	3	42	166.3	  0.0 
224	0	3	43	 79.9	  0.0 
225	0	3	44	 44.3	  0.0 
226	0	3	45	 55.3	  0.0 
227	0	3	46	 26.6	  0.0 
228	0	3	47	 17.1	  0.0 
229	0	3	48	 68.7	  0.0 
230	0	3	49	 58.4	  0.0 
231	0	3	50	142.0	  0.0 
232	0	3	51	 86.3	  0.0 
233	0	3	52	143.6	  0.0 
234	0	3	53	199.4	  0.0 
235	0	3	54	167.3	  0.0 
236	0	3	55	117.7	  0.0 
237	0	3	56	 82.9	  0.0 
238	0	3	57	 23.9	  0.0 
239	0	3	58	 50.2	  0.0 
240	0	3	59	 31.2	  0.0 
241	0	4	0	 26.7	  0.0 
242	0	4	1	 14.6	  0.0 
243	0	4	2	  7.8	  0.0 
244	0	4	3	  8.2	  0.0 
245	0	4	4	  9.1	  0.0 
246	0	4	5	  6.4	  0.0 
247	0	4	6	  6.3	  0.0 
248	0	4	7	  7.3	  0.0 
249	0	4	8	  6.8	  0.0 
250	0	4	9	  5.6	  0.0 
251	0	4	10	  1.8	  0.0 
252	0	4	11	  5.3	  0.0 
253	0	4	12	  5.7	  0.0 
254	0	4	13	  7.5	  0.0 
255	0	4	14	  8.5	  0.0 
256	0	4	15	  7.7	  0.0 
257	0	4	16	  5.4	  0.0 
258	0	4	17	  9.0	  0.0 
259	0	4	18	  7.5	  0.0 
260	0	4	19	  6.2	  0.0 
261	0	4	20	  6.5	  0.0 
262	0	4	21	  4.8	  0.0 
263	0	4	22	  5.7	  0.0 
264	0	4	23	  4.0	  0.0 
265	0	4	24	  7.3	  0.0 
266	0	4	25	  4.2	  0.0 
267	0	4	26	  7.1	  0.0 
268	0	4	27	 76.6	  0.0 
269	0	4	28	 10.2	  0.0 
270	0	4	29	  9.2	  0.0 
271	0	4	30	  5.4	  0.0 
272	0	4	31	 10.8	  0.0 
273	0	4	32	 12.0	  0.0 
274	0	4	33	  8.8	  0.0 
275	0	4	34	  7.0	  0.0 
276	0	4	35	 13.9	  0.0 
277	0	4	36	  8.2	  0.0 
278	0	4	37	  6.6	  0.0 
279	0	4	38	  7.8	  0.0 
280	0	4	39	  3.0	  0.0 
281	0	4	40	  4.1	  0.0 
282	0	4	41	  4.9	  0.0 
283	0	4	42	  5.5	  0.0 
284	0	4	43	  7.7	  0.0 
285	0	4	44	  5.8	  0.0 
286	0	4	45	  6.7	  0.0 
287	0	4	46	 11.4	  0.0 
288	0	4	47	  4.6	  0.0 
289	0	4	48	  8.3	  0.0 
290	0	4	49	  6.8	  0.0 
291	0	4	50	  3.8	  0.0 
292	0	4	51	 13.8	  0.0 
293	0	4	52	 10.3	  0.0 
294	0	4	53	 14.9	  0.0 
295	0	4	54	  8.3	  0.0 
296	0	4	55	  6.8	  0.0 
297	0	4	56	  8.4	  0.0 
298	0	4	57	  8.8	  0.0 
299	0	4	58	 11.3	  0.0 
300	0	4	59	 13.2	  0.0 
301	0	5	0	 23.1	  0.0 
302	0	5	1	 32.1	  0.0 
303	0	5	2	 50.8	  0.0 
304	0	5	3	 44.0	  0.0 
305	0	5	4	 47.9	  0.0 
306	0	5	5	 48.2	  0.0 
307	0	5	6	 62.2	  0.0 
308	0	5	7	 43.6	  0.0 
309	0	5	8	 36.9	  0.0 
310	0	5	9	 32.5	  0.0 
311	0	5	10	 51.0	  0.0 
312	0	5	11	 41.5	  0.0 
313	0	5	12	 47.6	  0.0 
314	0	5	13	 46.7	  0.0 
315	0	5	14	 54.2	  0.0 
316	0	5	15	 49.4	  0.0 
317	0	5	16	 38.5	  0.0 
318	0	5	17	 35.2	  0.0 
319	0	5	18	 41.4	  0.0 
320	0	5	19	 22.8	  0.0 
321	0	5	20	 18.5	  0.0 
322	0	5	21	 28.2	  0.0 
323	0	5	22	 21.5	  0.0 
324	0	5	23	 37.5	  0.0 
325	0	5	24	 37.3	  0.0 
326	0	5	25	 33.1	  0.0 
327	0	5	26	 21.6	  0.0 
328	0	5	27	 24.5	  0.0 
329	0	5	28	 24.7	  0.0 
330	0	5	29	 29.4	  0.0 
331	0	5	30	 46.2	  0.0 
332	0	5	31	 18.4	  0.0 
333	0	5	32	 22.0	  0.0 
334	0	5	33	 17.3	  0.0 
335	0	5	34	 22.8	  0.0 
336	0	5	35	 42.4	  0.0 
337	0	5	36	 41.1	  0.0 
338	0	5	37	 31.8	  0.0 
339	0	5	38	 32.6	  0.0 
340	0	5	39	 39.0	  0.0 
341	0	5	40	 40.4	  0.0 
342	0	5	41	 33.2	  0.0 
343	0	5	42	 45.0	  0.0 
344	0	5	43	 38.2	  0.0 
345	0	5	44	 30.4	  0.0 
346	0	5	45	 31.0	  0.0 
347	0	5	46	 31.7	  0.0 
348	0	5	47	 30.0	  0.0 
349	0	5	48	 48.2	  0.0 
350	0	5	49	 61.9	  0.0 
351	0	5	50	 57.2	  0.0 
352	0	5	51	 60.9	  0.0 
353	0	5	52	 73.1	  0.0 
354	0	5	53	 47.3	  0.0 
355	0	5	54	 42.7	  0.0 
356	0	5	55	 22.4	  0.0 
357	0	5	56	 15.4	  0.0 
358	0	5	57	 26.5	  0.0 
359	0	5	58	 27.0	  0.0 
360	0	5	59	 20.7	  0.0 
361	0	6	0	 39.2	  0.0 
362	0	6	1	 53.9	  0.0 
363	0	6	2	 62.0	  0.0 
364	0	6	3	 83.0	  0.0 
365	0	6	4	 81.7	  0.0 
366	0	6	5	 72.9	  0.0 
367	0	6	6	 55.4	  0.0 
368	0	6	7	 38.4	  0.0 
369	0	6	8	 32.5	  0.0 
370	0	6	9	 29.1	  0.0 
371	0	6	10	 18.0	  0.0 
372	0	6	11	 32.0	  0.0 
373	0	6	12	 37.1	  0.0 
374	0	6	13	 55.8	  0.0 
375	0	6	14	 56.5	  0.0 
376	0	6	15	 69.8	  0.0 
377	0	6	16	 74.7	  0.0 
378	0	6	17	 57.3	  0.0 
379	0	6	18	 52.0	  0.0 
380	0	6	19	 40.5	  0.0 
381	0	6	20	 21.4	  0.0 
382	0	6	21	 14.2	  0.0 
383	0	6	22	 18.2	  0.0 
384	0	6	23	 35.5	  0.0 
385	0	6	24	 39.5	  0.0 
386	0	6	25	 87.3	  0.0 
387	0	6	26	 56.9	  0.0 
388	0	6	27	 76.2	  0.0 
389	0	6	28	 84.7	  0.0 
390	0	6	29	 75.1	  0.0 
391	0	6	30	 75.3	  0.0 
392	0	6	31	 72.3	  0.0 
393	0	6	32	 50.6	  0.0 
394	0	6	33	 39.2	  0.0 
395	0	6	34	 27.0	  0.0 
396	0	6	35	 12.3	  0.0 
397	0	6	36	 34.0	  0.0 
398	0	6	37	 83.3	  0.0 
399	0	6	38	 74.4	  0.0 
400	0	6	39	 81.5	  0.0 
401	0	6	40	 74.2	  0.0 
402	0	6	41	 76.7	  0.0 
403	0	6	42	 61.6	  0.0 
404	0	6	43	 36.2	  0.0 
405	0	6	44	 23.7	  0.0 
406	0	6	45	 16.8	  0.0 
407	0	6	46	 16.7	  0.0 
408	0	6	47	 19.4	  0.0 
409	0	6	48	 39.0	  0.0 
410	0	6	49	 54.7	  0.0 
411	0	6	50	 55.3	  0.0 
412	0	6	51	 66.1	  0.0 
413	0	6	52	 79.0	  0.0 
414	0	6	53	 53.2	  0.0 
415	0	6	54	 41.8	  0.0 
416	0	6	55	 30.1	  0.0 
417	0	6	56	 17.0	  0.0 
418	0	6	57	 15.8	  0.0 
419	0	6	58	 13.6	  0.0 
420	0	6	59	 24.0	  0.0 
421	0	7	0	 52.6	  0.0 
422	0	7	1	105.0	  0.0 
423	0	7	2	166.2	  0.0 
424	0	7	3	116.4	  0.0 
425	0	7	4	 68.9	  0.0 
426	0	7	5	 97.7	  0.0 
427	0	7	6	119.3	  0.0 
428	0	7	7	145.4	  0.0 
429	0	7	8	114.5	  0.0 
430	0	7	9	139.6	  0.0 
431	0	7	10	100.7	  0.0 
432	0	7	11	119.0	  0.0 
433	0	7	12	149.2	  0.0 
434	0	7	13	 61.1	  0.0 
435	0	7	14	 89.0	  0.0 
436	0	7	15	181.2	  0.0 
437	0	7	16	156.1	  0.0 
438	0	7	17	216.1	  0.0 
439	0	7	18	229.0	  0.0 
440	0	7	19	222.2	  0.0 
441	0	7	20	250.8	  0.0 
442	0	7	21	158.0	  0.0 
443	0	7	22	102.3	  0.0 
444	0	7	23	129.3	  0.0 
445	0	7	24	110.3	  0.0 
446	0	7	25	 81.1	  0.0 
447	0	7	26	113.4	  0.0 
448	0	7	27	126.4	  0.0 
449	0	7	28	133.6	  0.0 
450	0	7	29	162.0	  0.0 
451	0	7	30	191.8	  0.0 
452	0	7	31	215.5	  0.0 
453	0	7	32	253.0	  0.0 
454	0	7	33	148.8	  0.0 
455	0	7	34	137.1	  0.0 
456	0	7	35	120.7	  0.0 
457	0	7	36	 46.9	  0.0 
458	0	7	37	 53.8	  0.0 
459	0	7	38	 65.1	  0.0 
460	0	7	39	 61.5	  0.0 
461	0	7	40	 90.3	  0.0 
462	0	7	41	 96.8	  0.0 
463	0	7	42	174.3	  0.0 
464	0	7	43	227.5	  0.0 
465	0	7	44	196.0	  0.0 
466	0	7	45	211.0	  0.0 
467	0	7	46	162.6	  0.0 
468	0	7	47	114.5	  0.0 
469	0	7	48	110.1	  0.0 
470	0	7	49	 69.9	  0.0 
471	0	7	50	 57.5	  0.0 
472	0	7	51	 70.1	  0.0 
473	0	7	52	 91.3	  0.0 
474	0	7	53	168.3	  0.0 
475	0	7	54	125.6	  0.0 
476	0	7	55	138.1	  0.0 
477	0	7	56	136.6	  0.0 
478	0	7	57	110.8	  0.0 
479	0	7	58	 87.9	  0.0 
480	0	7	59	104.5	  0.0 
481	0	8	0	 41.2	  0.0 
482	0	8	1	 34.0	  0.0 
483	0	8	2	 43.7	  0.0 
484	0	8	3	 63.0	  0.0 
485	0	8	4	 51.2	  0.0 
486	0	8	5	 73.8	  0.0 
487	0	8	6	 23.7	  0.0 
488	0	8	7	 67.6	  0.0 
489	0	8	8	 49.4	  0.0 
490	0	8	9	 33.5	  0.0 
491	0	8	10	 25.5	  0.0 
492	0	8	11	 25.7	  0.0 
493	0	8	12	 21.5	  0.0 
494	0	8	13	 24.9	  0.0 
495	0	8	14	 17.3	  0.0 
496	0	8	15	 17.5	  0.0 
497	0	8	16	  5.9	  0.0 
498	0	8	17	 18.4	  0.0 
499	0	8	18	 23.4	  0.0 
500	0	8	19	 44.8	  0.0 
501	0	8	20	 72.8	  0.0 
502	0	8	21	 22.0	  0.0 
503	0	8	22	 14.1	  0.0 
504	0	8	23	  5.0	  0.0 
505	0	8	24	  6.9	  0.0 
506	0	8	25	 14.4	  0.0 
507	0	8	26	 12.0	  0.0 
508	0	8	27	  5.8	  0.0 
509	0	8	28	  5.2	  0.0 
510	0	8	29	  8.1	  0.0 
511	0	8	30	  8.8	  0.0 
512	0	8	31	  1.6	  0.0 
513	0	8	32	  6.2	  0.0 
514	0	8	33	  5.9	  0.0 
515	0	8	34	  4.6	  0.0 
516	0	8	35	  7.4	  0.0 
517	0	8	36	  8.2	  0.0 
518	0	8	37	  0.1	  0.0 
519	0	8	38	  4.1	  0.0 
520	0	8	39	  3.7	  0.0 
521	0	8	40	  4.8	  0.0 
522	0	8	41	  7.3	  0.0 
523	0	8	42	  4.7	  0.0 
524	0	8	43	  4.3	  0.0 
525	0	8	44	  2.4	  0.0 
526	0	8	45	  4.7	  0.0 
527	0	8	46	  6.4	  0.0 
528	0	8	47	  6.0	  0.0 
529	0	8	48	  3.5	  0.0 
530	0	8	49	  3.1	  0.0 
531	0	8	50	  2.6	  0.0 
532	0	8	51	  8.2	  0.0 
533	0	8	52	 11.1	  0.0 
534	0	8	53	 12.0	  0.0 
535	0	8	54	 11.3	  0.0 
536	0	8	55	 11.9	  0.0 
537	0	8	56	  7.4	  0.0 
538	0	8	57	  4.9	  0.0 
539	0	8	58	  2.7	  0.0 
